query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,NZ_AP026104.1,100.0,100.0,81,1,81,3088929,3088849
Feature2,NZ_AP026104.1,100.0,100.0,100,1,100,3088948,3088849
Feature3,NZ_AP026104.1,100.0,100.0,80,1,80,3088928,3088849
Feature4,NZ_AP026104.1,100.0,100.0,87,1,87,2449049,2449135
Feature5,NZ_AP026104.1,100.0,100.0,97,1,97,2449038,2449134
Feature6,NZ_AP026104.1,100.0,100.0,80,1,80,3088961,3088882
Feature12,NZ_AP026104.1,100.0,100.0,81,1,81,2476015,2476095
Feature13,NZ_AP026104.1,100.0,100.0,100,1,100,4504994,4504895
Feature16,NZ_AP026104.1,100.0,100.0,100,1,100,3090220,3090319
Feature23,NZ_AP026104.1,100.0,100.0,100,1,100,5243943,5244042
Feature31,NZ_AP026104.1,100.0,100.0,89,1,89,1678675,1678763
Feature32,NZ_AP026104.1,100.0,100.0,100,1,100,2476106,2476007
Feature36,NZ_AP026104.1,100.0,100.0,86,1,86,3088875,3088960
Feature37,NZ_AP026104.1,100.0,100.0,100,1,100,3088949,3088850
Feature40,NZ_AP026104.1,100.0,100.0,100,1,100,4505028,4504929
Feature42,NZ_AP026104.1,100.0,100.0,100,1,100,1715275,1715176
Feature44,NZ_AP026104.1,100.0,100.0,98,1,98,3088967,3088870
Feature48,NZ_AP026104.1,100.0,100.0,81,1,81,2449049,2449129
Feature52,NZ_AP026104.1,100.0,100.0,87,1,87,3088875,3088961
Feature63,NZ_AP026104.1,100.0,100.0,100,1,100,3403196,3403097
Feature68,NZ_AP026104.1,100.0,100.0,95,1,95,906175,906269
Feature75,NZ_AP026104.1,100.0,100.0,100,1,100,2802767,2802668
Feature80,NZ_AP026104.1,100.0,100.0,93,1,93,3088875,3088967
Feature85,NZ_AP026104.1,100.0,100.0,84,1,84,3088882,3088965
Feature89,NZ_AP026104.1,100.0,100.0,97,1,97,2002630,2002534
Feature89,NZ_AP026104.1,100.0,100.0,97,1,97,2770987,2770891
Feature90,NZ_AP026104.1,100.0,100.0,93,1,93,3796142,3796234
Feature94,NZ_AP026104.1,100.0,100.0,100,1,100,3403078,3403177
Feature98,NZ_AP026104.1,100.0,100.0,92,1,92,1642874,1642965
Feature99,NZ_AP026104.1,100.0,100.0,100,1,100,2802770,2802671
Feature100,NZ_AP026104.1,100.0,100.0,93,1,93,2455825,2455917
Feature101,NZ_AP026104.1,100.0,100.0,84,1,84,3088878,3088961
Feature102,NZ_AP026104.1,100.0,100.0,100,1,100,1059099,1059000
Feature103,NZ_AP026104.1,100.0,100.0,92,1,92,925188,925097
Feature104,NZ_AP026104.1,100.0,100.0,87,1,87,3088956,3088870
Feature105,NZ_AP026104.1,100.0,100.0,92,1,92,2784566,2784657
Feature107,NZ_AP026104.1,100.0,100.0,100,1,100,925210,925111
Feature107,NZ_AP026104.1,100.0,100.0,100,1,100,2133162,2133261
Feature108,NZ_AP026104.1,100.0,100.0,100,1,100,1197645,1197744
Feature109,NZ_AP026104.1,100.0,100.0,100,1,100,3090268,3090169
Feature110,NZ_AP026104.1,100.0,100.0,100,1,100,5243703,5243604
Feature111,NZ_AP026104.1,100.0,100.0,92,1,92,5003806,5003897
Feature115,NZ_AP026104.1,100.0,100.0,96,1,96,2097753,2097848
Feature117,NZ_AP026104.1,100.0,100.0,85,1,85,3088882,3088966
Feature120,NZ_AP026104.1,100.0,100.0,92,1,92,2097757,2097848
Feature122,NZ_AP026104.1,100.0,100.0,100,1,100,3403174,3403075
Feature129,NZ_AP026104.1,100.0,100.0,100,1,100,308177,308078
Feature129,NZ_AP026104.1,100.0,100.0,100,1,100,3098156,3098255
Feature133,NZ_AP026104.1,100.0,100.0,85,1,85,3088967,3088883
Feature134,NZ_AP026104.1,100.0,100.0,100,1,100,4356000,4355901
Feature135,NZ_AP026104.1,100.0,100.0,95,1,95,2097754,2097848
Feature137,NZ_AP026104.1,100.0,100.0,86,1,86,2002630,2002545
Feature137,NZ_AP026104.1,100.0,100.0,86,1,86,2770987,2770902
Feature138,NZ_AP026104.1,100.0,100.0,84,1,84,925110,925193
Feature138,NZ_AP026104.1,100.0,100.0,84,1,84,2133262,2133179
Feature143,NZ_AP026104.1,100.0,100.0,100,1,100,5243713,5243614
Feature145,NZ_AP026104.1,100.0,100.0,98,1,98,1199988,1199891
Feature146,NZ_AP026104.1,100.0,100.0,96,1,96,925110,925205
Feature146,NZ_AP026104.1,100.0,100.0,96,1,96,2133262,2133167
Feature147,NZ_AP026104.1,100.0,100.0,100,1,100,1997533,1997632
Feature147,NZ_AP026104.1,100.0,100.0,100,1,100,2765271,2765370
Feature148,NZ_AP026104.1,100.0,100.0,80,1,80,925193,925114
Feature148,NZ_AP026104.1,100.0,100.0,80,1,80,2133179,2133258
Feature149,NZ_AP026104.1,100.0,100.0,99,1,99,2489702,2489604
Feature151,NZ_AP026104.1,100.0,100.0,98,1,98,2002313,2002410
Feature151,NZ_AP026104.1,100.0,100.0,98,1,98,2770670,2770767
Feature152,NZ_AP026104.1,100.0,100.0,99,1,99,2455941,2455843
Feature153,NZ_AP026104.1,100.0,100.0,100,1,100,1997575,1997674
Feature153,NZ_AP026104.1,100.0,100.0,100,1,100,2765313,2765412
Feature155,NZ_AP026104.1,100.0,100.0,82,1,82,899760,899679
Feature160,NZ_AP026104.1,100.0,100.0,91,1,91,2097757,2097847
Feature163,NZ_AP026104.1,100.0,100.0,93,1,93,2563188,2563096
Feature165,NZ_AP026104.1,100.0,100.0,87,1,87,1217947,1217861
Feature165,NZ_AP026104.1,100.0,100.0,87,1,87,1682833,1682747
