query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,AP026085.1,100.0,100.0,81,1,81,3107609,3107529
Feature2,AP026085.1,100.0,100.0,100,1,100,3107628,3107529
Feature3,AP026085.1,100.0,100.0,80,1,80,3107608,3107529
Feature4,AP026085.1,100.0,100.0,87,1,87,1213117,1213031
Feature5,AP026085.1,100.0,100.0,97,1,97,1213128,1213032
Feature6,AP026085.1,100.0,100.0,80,1,80,3107641,3107562
Feature12,AP026085.1,100.0,100.0,81,1,81,2537151,2537231
Feature13,AP026085.1,100.0,100.0,100,1,100,4541194,4541095
Feature16,AP026085.1,100.0,100.0,100,1,100,3108900,3108999
Feature19,AP026085.1,100.0,100.0,100,1,100,2518381,2518480
Feature19,AP026085.1,100.0,100.0,100,1,100,2773818,2773917
Feature23,AP026085.1,100.0,100.0,100,1,100,5283406,5283505
Feature31,AP026085.1,100.0,100.0,89,1,89,2059016,2058928
Feature32,AP026085.1,100.0,100.0,100,1,100,2537242,2537143
Feature35,AP026085.1,100.0,100.0,100,1,100,3109126,3109225
Feature36,AP026085.1,100.0,100.0,86,1,86,3107555,3107640
Feature37,AP026085.1,100.0,100.0,100,1,100,3107629,3107530
Feature40,AP026085.1,100.0,100.0,100,1,100,4541228,4541129
Feature42,AP026085.1,100.0,100.0,100,1,100,2022416,2022515
Feature44,AP026085.1,100.0,100.0,98,1,98,3107647,3107550
Feature48,AP026085.1,100.0,100.0,81,1,81,1213117,1213037
Feature51,AP026085.1,100.0,100.0,84,1,84,1517112,1517195
Feature52,AP026085.1,100.0,100.0,87,1,87,3107555,3107641
Feature60,AP026085.1,100.0,100.0,100,1,100,3109127,3109226
Feature61,AP026085.1,100.0,100.0,100,1,100,3109125,3109224
Feature63,AP026085.1,100.0,100.0,100,1,100,3421927,3421828
Feature68,AP026085.1,100.0,100.0,95,1,95,906138,906232
Feature75,AP026085.1,100.0,100.0,100,1,100,2817633,2817534
Feature77,AP026085.1,100.0,100.0,100,1,100,2518491,2518392
Feature77,AP026085.1,100.0,100.0,100,1,100,2773928,2773829
Feature80,AP026085.1,100.0,100.0,93,1,93,3107555,3107647
Feature85,AP026085.1,100.0,100.0,84,1,84,3107562,3107645
