query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,AP026112.1,100.0,100.0,81,1,81,3175048,3174968
Feature2,AP026112.1,100.0,100.0,100,1,100,3175067,3174968
Feature3,AP026112.1,100.0,100.0,80,1,80,3175047,3174968
Feature4,AP026112.1,100.0,100.0,87,1,87,1213222,1213136
Feature5,AP026112.1,100.0,100.0,97,1,97,1213233,1213137
Feature6,AP026112.1,100.0,100.0,80,1,80,3175080,3175001
Feature12,AP026112.1,100.0,100.0,81,1,81,2610861,2610941
Feature13,AP026112.1,100.0,100.0,100,1,100,4592625,4592526
Feature16,AP026112.1,100.0,100.0,100,1,100,3176339,3176438
Feature19,AP026112.1,100.0,100.0,100,1,100,1205028,1204929
Feature19,AP026112.1,100.0,100.0,100,1,100,2592662,2592761
Feature19,AP026112.1,100.0,100.0,100,1,100,2848833,2848932
Feature23,AP026112.1,100.0,100.0,100,1,100,5334781,5334880
Feature27,AP026112.1,100.0,100.0,87,1,87,2296783,2296697
Feature31,AP026112.1,100.0,100.0,89,1,89,2049230,2049142
Feature32,AP026112.1,100.0,100.0,100,1,100,2610952,2610853
Feature35,AP026112.1,100.0,100.0,100,1,100,3176565,3176664
Feature36,AP026112.1,100.0,100.0,86,1,86,3174994,3175079
Feature37,AP026112.1,100.0,100.0,100,1,100,3175068,3174969
Feature40,AP026112.1,100.0,100.0,100,1,100,4592659,4592560
Feature42,AP026112.1,100.0,100.0,100,1,100,2012631,2012730
Feature44,AP026112.1,100.0,100.0,98,1,98,3175086,3174989
Feature45,AP026112.1,100.0,100.0,86,1,86,2296892,2296807
Feature47,AP026112.1,100.0,100.0,81,1,81,2296815,2296895
Feature48,AP026112.1,100.0,100.0,81,1,81,1213222,1213142
Feature51,AP026112.1,100.0,100.0,84,1,84,1517211,1517294
Feature52,AP026112.1,100.0,100.0,87,1,87,3174994,3175080
Feature60,AP026112.1,100.0,100.0,100,1,100,3176566,3176665
Feature61,AP026112.1,100.0,100.0,100,1,100,3176564,3176663
Feature63,AP026112.1,100.0,100.0,100,1,100,3489366,3489267
Feature68,AP026112.1,100.0,100.0,95,1,95,906244,906338
Feature75,AP026112.1,100.0,100.0,100,1,100,2883530,2883431
Feature77,AP026112.1,100.0,100.0,100,1,100,1204918,1205017
Feature77,AP026112.1,100.0,100.0,100,1,100,2592772,2592673
Feature77,AP026112.1,100.0,100.0,100,1,100,2848943,2848844
Feature80,AP026112.1,100.0,100.0,93,1,93,3174994,3175086
Feature85,AP026112.1,100.0,100.0,84,1,84,3175001,3175084
Feature89,AP026112.1,100.0,100.0,97,1,97,2850439,2850343
Feature90,AP026112.1,100.0,100.0,93,1,93,3883775,3883867
Feature94,AP026112.1,100.0,100.0,100,1,100,3489248,3489347
Feature98,AP026112.1,100.0,100.0,92,1,92,2131137,2131046
Feature99,AP026112.1,100.0,100.0,100,1,100,2883533,2883434
Feature101,AP026112.1,100.0,100.0,84,1,84,3174997,3175080
Feature103,AP026112.1,100.0,100.0,92,1,92,924765,924674
Feature104,AP026112.1,100.0,100.0,87,1,87,3175075,3174989
Feature107,AP026112.1,100.0,100.0,100,1,100,924787,924688
Feature107,AP026112.1,100.0,100.0,100,1,100,1574830,1574731
Feature108,AP026112.1,100.0,100.0,100,1,100,1188191,1188290
Feature109,AP026112.1,100.0,100.0,100,1,100,3176387,3176288
Feature110,AP026112.1,100.0,100.0,100,1,100,5334541,5334442
Feature112,AP026112.1,100.0,100.0,85,1,85,1204783,1204699
Feature112,AP026112.1,100.0,100.0,85,1,85,1517331,1517247
Feature112,AP026112.1,100.0,100.0,85,1,85,2592907,2592991
Feature112,AP026112.1,100.0,100.0,85,1,85,2849078,2849162
Feature115,AP026112.1,100.0,100.0,96,1,96,1608926,1608831
Feature117,AP026112.1,100.0,100.0,85,1,85,3175001,3175085
Feature119,AP026112.1,100.0,100.0,89,1,89,2296895,2296807
Feature120,AP026112.1,100.0,100.0,92,1,92,1608922,1608831
Feature122,AP026112.1,100.0,100.0,100,1,100,3489344,3489245
Feature124,AP026112.1,100.0,100.0,100,1,100,3176662,3176563
Feature129,AP026112.1,100.0,100.0,100,1,100,308223,308124
Feature130,AP026112.1,100.0,100.0,100,1,100,2074759,2074858
Feature132,AP026112.1,100.0,100.0,100,1,100,1491742,1491841
Feature133,AP026112.1,100.0,100.0,85,1,85,3175086,3175002
Feature134,AP026112.1,100.0,100.0,100,1,100,4443630,4443531
Feature135,AP026112.1,100.0,100.0,95,1,95,1608925,1608831
Feature137,AP026112.1,100.0,100.0,86,1,86,2850439,2850354
Feature138,AP026112.1,100.0,100.0,84,1,84,924687,924770
Feature138,AP026112.1,100.0,100.0,84,1,84,1574730,1574813
Feature140,AP026112.1,100.0,100.0,80,1,80,1204783,1204704
Feature140,AP026112.1,100.0,100.0,80,1,80,1517331,1517252
Feature140,AP026112.1,100.0,100.0,80,1,80,2592907,2592986
Feature140,AP026112.1,100.0,100.0,80,1,80,2849078,2849157
