query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,NZ_AP026108.1,100.0,100.0,81,1,81,3224112,3224032
Feature2,NZ_AP026108.1,100.0,100.0,100,1,100,3224131,3224032
Feature3,NZ_AP026108.1,100.0,100.0,80,1,80,3224111,3224032
Feature4,NZ_AP026108.1,100.0,100.0,87,1,87,1286530,1286444
Feature5,NZ_AP026108.1,100.0,100.0,97,1,97,1286541,1286445
Feature6,NZ_AP026108.1,100.0,100.0,80,1,80,3224144,3224065
Feature12,NZ_AP026108.1,100.0,100.0,81,1,81,2663686,2663766
Feature13,NZ_AP026108.1,100.0,100.0,100,1,100,4642968,4642869
Feature16,NZ_AP026108.1,100.0,100.0,100,1,100,3225403,3225502
Feature19,NZ_AP026108.1,100.0,100.0,100,1,100,2644916,2645015
Feature19,NZ_AP026108.1,100.0,100.0,100,1,100,2900345,2900444
Feature23,NZ_AP026108.1,100.0,100.0,100,1,100,5385063,5385162
Feature31,NZ_AP026108.1,100.0,100.0,89,1,89,2137063,2136975
Feature32,NZ_AP026108.1,100.0,100.0,100,1,100,2663777,2663678
Feature35,NZ_AP026108.1,100.0,100.0,100,1,100,3225629,3225728
Feature36,NZ_AP026108.1,100.0,100.0,86,1,86,3224058,3224143
Feature37,NZ_AP026108.1,100.0,100.0,100,1,100,3224132,3224033
Feature40,NZ_AP026108.1,100.0,100.0,100,1,100,4643002,4642903
Feature42,NZ_AP026108.1,100.0,100.0,100,1,100,2100463,2100562
Feature44,NZ_AP026108.1,100.0,100.0,98,1,98,3224150,3224053
Feature48,NZ_AP026108.1,100.0,100.0,81,1,81,1286530,1286450
Feature52,NZ_AP026108.1,100.0,100.0,87,1,87,3224058,3224144
Feature60,NZ_AP026108.1,100.0,100.0,100,1,100,3225630,3225729
Feature61,NZ_AP026108.1,100.0,100.0,100,1,100,3225628,3225727
Feature63,NZ_AP026108.1,100.0,100.0,100,1,100,3541059,3540960
Feature68,NZ_AP026108.1,100.0,100.0,95,1,95,904831,904925
Feature75,NZ_AP026108.1,100.0,100.0,100,1,100,2933731,2933632
Feature77,NZ_AP026108.1,100.0,100.0,100,1,100,2645026,2644927
