query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,NZ_AP026087.1,100.0,100.0,81,1,81,1262670,1262750
Feature1,NZ_AP026087.1,100.0,100.0,81,1,81,3173677,3173597
Feature2,NZ_AP026087.1,100.0,100.0,100,1,100,1262651,1262750
Feature2,NZ_AP026087.1,100.0,100.0,100,1,100,3173696,3173597
Feature3,NZ_AP026087.1,100.0,100.0,80,1,80,1262671,1262750
Feature3,NZ_AP026087.1,100.0,100.0,80,1,80,3173676,3173597
Feature4,NZ_AP026087.1,100.0,100.0,87,1,87,1201771,1201685
Feature5,NZ_AP026087.1,100.0,100.0,97,1,97,1201782,1201686
Feature6,NZ_AP026087.1,100.0,100.0,80,1,80,1262638,1262717
Feature6,NZ_AP026087.1,100.0,100.0,80,1,80,3173709,3173630
Feature12,NZ_AP026087.1,100.0,100.0,81,1,81,2563275,2563355
Feature13,NZ_AP026087.1,100.0,100.0,100,1,100,4589794,4589695
Feature16,NZ_AP026087.1,100.0,100.0,100,1,100,1261379,1261280
Feature16,NZ_AP026087.1,100.0,100.0,100,1,100,3174968,3175067
Feature19,NZ_AP026087.1,100.0,100.0,100,1,100,2858466,2858565
Feature23,NZ_AP026087.1,100.0,100.0,100,1,100,5330541,5330640
Feature31,NZ_AP026087.1,100.0,100.0,89,1,89,2043243,2043155
Feature32,NZ_AP026087.1,100.0,100.0,100,1,100,2563366,2563267
Feature36,NZ_AP026087.1,100.0,100.0,86,1,86,1262724,1262639
Feature36,NZ_AP026087.1,100.0,100.0,86,1,86,3173623,3173708
Feature37,NZ_AP026087.1,100.0,100.0,100,1,100,1262650,1262749
Feature37,NZ_AP026087.1,100.0,100.0,100,1,100,3173697,3173598
Feature40,NZ_AP026087.1,100.0,100.0,100,1,100,4589828,4589729
Feature42,NZ_AP026087.1,100.0,100.0,100,1,100,2006644,2006743
Feature44,NZ_AP026087.1,100.0,100.0,98,1,98,1262632,1262729
Feature44,NZ_AP026087.1,100.0,100.0,98,1,98,3173715,3173618
Feature48,NZ_AP026087.1,100.0,100.0,81,1,81,1201771,1201691
Feature52,NZ_AP026087.1,100.0,100.0,87,1,87,1262724,1262638
Feature52,NZ_AP026087.1,100.0,100.0,87,1,87,3173623,3173709
Feature63,NZ_AP026087.1,100.0,100.0,100,1,100,3487956,3487857
Feature68,NZ_AP026087.1,100.0,100.0,95,1,95,894797,894891
Feature77,NZ_AP026087.1,100.0,100.0,100,1,100,2858576,2858477
Feature80,NZ_AP026087.1,100.0,100.0,93,1,93,1262724,1262632
Feature80,NZ_AP026087.1,100.0,100.0,93,1,93,3173623,3173715
Feature85,NZ_AP026087.1,100.0,100.0,84,1,84,1262717,1262634
Feature85,NZ_AP026087.1,100.0,100.0,84,1,84,3173630,3173713
Feature88,NZ_AP026088.1,100.0,100.0,81,1,81,23604,23684
Feature89,NZ_AP026087.1,100.0,100.0,97,1,97,2860072,2859976
Feature90,NZ_AP026087.1,100.0,100.0,93,1,93,3880931,3881023
