query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,AP026118.1,100.0,100.0,81,1,81,3104391,3104311
Feature2,AP026118.1,100.0,100.0,100,1,100,3104410,3104311
Feature3,AP026118.1,100.0,100.0,80,1,80,3104390,3104311
Feature4,AP026118.1,100.0,100.0,87,1,87,1215547,1215461
Feature4,AP026118.1,100.0,100.0,87,1,87,2517271,2517357
Feature5,AP026118.1,100.0,100.0,97,1,97,1215558,1215462
Feature5,AP026118.1,100.0,100.0,97,1,97,2517260,2517356
Feature6,AP026118.1,100.0,100.0,80,1,80,3104423,3104344
Feature12,AP026118.1,100.0,100.0,81,1,81,2541453,2541533
Feature13,AP026118.1,100.0,100.0,100,1,100,4533650,4533551
Feature16,AP026118.1,100.0,100.0,100,1,100,3105682,3105781
Feature23,AP026118.1,100.0,100.0,100,1,100,5275716,5275815
Feature31,AP026118.1,100.0,100.0,89,1,89,2005080,2004992
Feature36,AP026118.1,100.0,100.0,86,1,86,3104337,3104422
Feature37,AP026118.1,100.0,100.0,100,1,100,3104411,3104312
Feature40,AP026118.1,100.0,100.0,100,1,100,4533684,4533585
Feature42,AP026118.1,100.0,100.0,100,1,100,1968481,1968580
Feature44,AP026118.1,100.0,100.0,98,1,98,3104429,3104332
Feature48,AP026118.1,100.0,100.0,81,1,81,1215547,1215467
Feature48,AP026118.1,100.0,100.0,81,1,81,2517271,2517351
Feature52,AP026118.1,100.0,100.0,87,1,87,3104337,3104423
Feature63,AP026118.1,100.0,100.0,100,1,100,3415855,3415756
Feature68,AP026118.1,100.0,100.0,95,1,95,908580,908674
Feature75,AP026118.1,100.0,100.0,100,1,100,2812801,2812702
Feature78,AP026118.1,100.0,100.0,100,1,100,2487791,2487692
Feature80,AP026118.1,100.0,100.0,93,1,93,3104337,3104429
Feature85,AP026118.1,100.0,100.0,84,1,84,3104344,3104427
Feature88,AP026119.1,100.0,100.0,81,1,81,23602,23682
Feature89,AP026118.1,100.0,100.0,97,1,97,1205746,1205842
Feature89,AP026118.1,100.0,100.0,97,1,97,2526463,2526367
Feature89,AP026118.1,100.0,100.0,97,1,97,2779708,2779612
Feature90,AP026118.1,100.0,100.0,93,1,93,3810165,3810257
Feature93,AP026118.1,100.0,100.0,100,1,100,2487788,2487689
Feature94,AP026118.1,100.0,100.0,100,1,100,3415737,3415836
Feature98,AP026118.1,100.0,100.0,92,1,92,2088290,2088199
Feature99,AP026118.1,100.0,100.0,100,1,100,2812804,2812705
Feature101,AP026118.1,100.0,100.0,84,1,84,3104340,3104423
Feature103,AP026118.1,100.0,100.0,92,1,92,927101,927010
Feature104,AP026118.1,100.0,100.0,87,1,87,3104418,3104332
Feature105,AP026118.1,100.0,100.0,92,1,92,2793286,2793377
Feature106,AP026118.1,100.0,100.0,90,1,90,3114627,3114716
Feature107,AP026118.1,100.0,100.0,100,1,100,927123,927024
Feature107,AP026118.1,100.0,100.0,100,1,100,1530614,1530515
Feature108,AP026118.1,100.0,100.0,100,1,100,1190515,1190614
Feature109,AP026118.1,100.0,100.0,100,1,100,3105730,3105631
Feature110,AP026118.1,100.0,100.0,100,1,100,5275476,5275377
Feature111,AP026118.1,100.0,100.0,92,1,92,5034227,5034318
Feature115,AP026118.1,100.0,100.0,96,1,96,1566023,1565928
Feature117,AP026118.1,100.0,100.0,85,1,85,3104344,3104428
Feature120,AP026118.1,100.0,100.0,92,1,92,1566019,1565928
Feature122,AP026118.1,100.0,100.0,100,1,100,3415833,3415734
Feature129,AP026118.1,100.0,100.0,100,1,100,308047,307948
Feature130,AP026118.1,100.0,100.0,100,1,100,2030610,2030709
Feature133,AP026118.1,100.0,100.0,85,1,85,3104429,3104345
Feature134,AP026118.1,100.0,100.0,100,1,100,4368709,4368610
Feature135,AP026118.1,100.0,100.0,95,1,95,1566022,1565928
Feature137,AP026118.1,100.0,100.0,86,1,86,1205746,1205831
Feature137,AP026118.1,100.0,100.0,86,1,86,2526463,2526378
Feature137,AP026118.1,100.0,100.0,86,1,86,2779708,2779623
Feature138,AP026118.1,100.0,100.0,84,1,84,927023,927106
Feature138,AP026118.1,100.0,100.0,84,1,84,1530514,1530597
Feature143,AP026118.1,100.0,100.0,100,1,100,5275486,5275387
Feature145,AP026118.1,100.0,100.0,98,1,98,1192858,1192761
Feature146,AP026118.1,100.0,100.0,96,1,96,927023,927118
Feature146,AP026118.1,100.0,100.0,96,1,96,1530514,1530609
Feature147,AP026118.1,100.0,100.0,100,1,100,1685630,1685531
Feature147,AP026118.1,100.0,100.0,100,1,100,2773992,2774091
Feature148,AP026118.1,100.0,100.0,80,1,80,927106,927027
Feature148,AP026118.1,100.0,100.0,80,1,80,1530597,1530518
Feature149,AP026118.1,100.0,100.0,99,1,99,2555147,2555049
Feature151,AP026118.1,100.0,100.0,98,1,98,1206063,1205966
Feature151,AP026118.1,100.0,100.0,98,1,98,2526146,2526243
Feature151,AP026118.1,100.0,100.0,98,1,98,2779391,2779488
Feature153,AP026118.1,100.0,100.0,100,1,100,1685588,1685489
Feature153,AP026118.1,100.0,100.0,100,1,100,2774034,2774133
Feature155,AP026118.1,100.0,100.0,82,1,82,902165,902084
Feature160,AP026118.1,100.0,100.0,91,1,91,1566019,1565929
Feature165,AP026118.1,100.0,100.0,87,1,87,2000922,2001008
Feature167,AP026118.1,100.0,100.0,100,1,100,272459,272360
Feature169,AP026118.1,100.0,100.0,80,1,80,2964427,2964348
Feature172,AP026118.1,100.0,100.0,81,1,81,5034316,5034236
Feature176,AP026118.1,100.0,100.0,100,1,100,2812785,2812686
Feature178,AP026118.1,100.0,100.0,88,1,88,3104429,3104342
Feature179,AP026118.1,100.0,100.0,88,1,88,2809892,2809979
Feature181,AP026118.1,100.0,100.0,83,1,83,265315,265233
Feature182,AP026118.1,100.0,100.0,100,1,100,1968486,1968585
Feature184,AP026118.1,100.0,100.0,100,1,100,1210342,1210441
Feature186,AP026118.1,100.0,100.0,100,1,100,1999323,1999422
Feature186,AP026118.1,100.0,100.0,100,1,100,2519794,2519893
Feature188,AP026118.1,100.0,100.0,100,1,100,927043,927142
Feature188,AP026118.1,100.0,100.0,100,1,100,1530534,1530633
Feature196,AP026118.1,100.0,100.0,100,1,100,1182533,1182632
Feature198,AP026118.1,100.0,100.0,100,1,100,2075130,2075229
Feature199,AP026118.1,100.0,100.0,89,1,89,2813118,2813030
Feature203,AP026118.1,100.0,100.0,100,1,100,4541499,4541400
Feature205,AP026118.1,100.0,100.0,89,1,89,1178266,1178178
Feature206,AP026118.1,100.0,100.0,95,1,95,1178179,1178273
Feature209,AP026118.1,100.0,100.0,80,1,80,2086589,2086510
Feature212,AP026118.1,100.0,100.0,100,1,100,2812761,2812662
Feature215,AP026118.1,100.0,100.0,100,1,100,5032902,5032803
Feature217,AP026118.1,100.0,100.0,82,1,82,1208771,1208690
Feature219,AP026118.1,100.0,100.0,100,1,100,1684103,1684202
Feature222,AP026118.1,100.0,100.0,95,1,95,929996,930090
