query_id,subject_id,percent_identity,percent_coverage,alignment_length,query_start,query_end,subject_start,subject_end
Feature1,NZ_AP026082.1,100.0,100.0,81,1,81,3153086,3153006
Feature2,NZ_AP026082.1,100.0,100.0,100,1,100,3153105,3153006
Feature3,NZ_AP026082.1,100.0,100.0,80,1,80,3153085,3153006
Feature4,NZ_AP026082.1,100.0,100.0,87,1,87,1211806,1211720
Feature5,NZ_AP026082.1,100.0,100.0,97,1,97,1211817,1211721
Feature6,NZ_AP026082.1,100.0,100.0,80,1,80,3153118,3153039
Feature12,NZ_AP026082.1,100.0,100.0,81,1,81,2581317,2581397
Feature13,NZ_AP026082.1,100.0,100.0,100,1,100,4583515,4583416
Feature16,NZ_AP026082.1,100.0,100.0,100,1,100,3154377,3154476
Feature19,NZ_AP026082.1,100.0,100.0,100,1,100,2562546,2562645
Feature19,NZ_AP026082.1,100.0,100.0,100,1,100,2819295,2819394
Feature23,NZ_AP026082.1,100.0,100.0,100,1,100,5325705,5325804
Feature31,NZ_AP026082.1,100.0,100.0,89,1,89,2057708,2057620
Feature32,NZ_AP026082.1,100.0,100.0,100,1,100,2581408,2581309
Feature35,NZ_AP026082.1,100.0,100.0,100,1,100,3154603,3154702
Feature36,NZ_AP026082.1,100.0,100.0,86,1,86,3153032,3153117
Feature37,NZ_AP026082.1,100.0,100.0,100,1,100,3153106,3153007
Feature40,NZ_AP026082.1,100.0,100.0,100,1,100,4583549,4583450
Feature42,NZ_AP026082.1,100.0,100.0,100,1,100,2021109,2021208
Feature44,NZ_AP026082.1,100.0,100.0,98,1,98,3153124,3153027
Feature48,NZ_AP026082.1,100.0,100.0,81,1,81,1211806,1211726
Feature51,NZ_AP026082.1,100.0,100.0,84,1,84,1515790,1515873
Feature52,NZ_AP026082.1,100.0,100.0,87,1,87,3153032,3153118
Feature60,NZ_AP026082.1,100.0,100.0,100,1,100,3154604,3154703
Feature61,NZ_AP026082.1,100.0,100.0,100,1,100,3154602,3154701
Feature63,NZ_AP026082.1,100.0,100.0,100,1,100,3467404,3467305
Feature68,NZ_AP026082.1,100.0,100.0,95,1,95,904830,904924
Feature75,NZ_AP026082.1,100.0,100.0,100,1,100,2863110,2863011
Feature77,NZ_AP026082.1,100.0,100.0,100,1,100,2562656,2562557
Feature77,NZ_AP026082.1,100.0,100.0,100,1,100,2819405,2819306
Feature80,NZ_AP026082.1,100.0,100.0,93,1,93,3153032,3153124
Feature85,NZ_AP026082.1,100.0,100.0,84,1,84,3153039,3153122
Feature88,NZ_AP026083.1,100.0,100.0,81,1,81,22289,22369
Feature89,NZ_AP026082.1,100.0,100.0,97,1,97,2820901,2820805
Feature90,NZ_AP026082.1,100.0,100.0,93,1,93,3860022,3860114
Feature94,NZ_AP026082.1,100.0,100.0,100,1,100,3467286,3467385
Feature98,NZ_AP026082.1,100.0,100.0,92,1,92,2139615,2139524
Feature99,NZ_AP026082.1,100.0,100.0,100,1,100,2863113,2863014
Feature100,NZ_AP026082.1,100.0,100.0,93,1,93,1205030,1204938
Feature101,NZ_AP026082.1,100.0,100.0,84,1,84,3153035,3153118
Feature103,NZ_AP026082.1,100.0,100.0,92,1,92,923351,923260
Feature104,NZ_AP026082.1,100.0,100.0,87,1,87,3153113,3153027
Feature105,NZ_AP026082.1,100.0,100.0,92,1,92,2844908,2844999
Feature107,NZ_AP026082.1,100.0,100.0,100,1,100,923373,923274
Feature107,NZ_AP026082.1,100.0,100.0,100,1,100,1585932,1585833
Feature108,NZ_AP026082.1,100.0,100.0,100,1,100,1186776,1186875
Feature109,NZ_AP026082.1,100.0,100.0,100,1,100,3154425,3154326
Feature110,NZ_AP026082.1,100.0,100.0,100,1,100,5325465,5325366
Feature112,NZ_AP026082.1,100.0,100.0,85,1,85,1515910,1515826
Feature112,NZ_AP026082.1,100.0,100.0,85,1,85,2562791,2562875
Feature112,NZ_AP026082.1,100.0,100.0,85,1,85,2819540,2819624
Feature115,NZ_AP026082.1,100.0,100.0,96,1,96,1620028,1619933
Feature117,NZ_AP026082.1,100.0,100.0,85,1,85,3153039,3153123
Feature120,NZ_AP026082.1,100.0,100.0,92,1,92,1620024,1619933
Feature122,NZ_AP026082.1,100.0,100.0,100,1,100,3467382,3467283
Feature124,NZ_AP026082.1,100.0,100.0,100,1,100,3154700,3154601
Feature129,NZ_AP026082.1,100.0,100.0,100,1,100,306862,306763
Feature130,NZ_AP026082.1,100.0,100.0,100,1,100,2083237,2083336
Feature132,NZ_AP026082.1,100.0,100.0,100,1,100,1490320,1490419
Feature133,NZ_AP026082.1,100.0,100.0,85,1,85,3153124,3153040
Feature134,NZ_AP026082.1,100.0,100.0,100,1,100,4418564,4418465
Feature135,NZ_AP026082.1,100.0,100.0,95,1,95,1620027,1619933
Feature137,NZ_AP026082.1,100.0,100.0,86,1,86,2820901,2820816
Feature138,NZ_AP026082.1,100.0,100.0,84,1,84,923273,923356
Feature138,NZ_AP026082.1,100.0,100.0,84,1,84,1585832,1585915
Feature140,NZ_AP026082.1,100.0,100.0,80,1,80,1515910,1515831
Feature140,NZ_AP026082.1,100.0,100.0,80,1,80,2562791,2562870
Feature140,NZ_AP026082.1,100.0,100.0,80,1,80,2819540,2819619
Feature143,NZ_AP026082.1,100.0,100.0,100,1,100,5325475,5325376
Feature145,NZ_AP026082.1,100.0,100.0,98,1,98,1189119,1189022
Feature146,NZ_AP026082.1,100.0,100.0,96,1,96,923273,923368
Feature146,NZ_AP026082.1,100.0,100.0,96,1,96,1585832,1585927
Feature147,NZ_AP026082.1,100.0,100.0,100,1,100,1738285,1738186
Feature147,NZ_AP026082.1,100.0,100.0,100,1,100,2815185,2815284
Feature148,NZ_AP026082.1,100.0,100.0,80,1,80,923356,923277
Feature148,NZ_AP026082.1,100.0,100.0,80,1,80,1585915,1585836
Feature149,NZ_AP026082.1,100.0,100.0,99,1,99,2595004,2594906
Feature151,NZ_AP026082.1,100.0,100.0,98,1,98,2563835,2563932
Feature151,NZ_AP026082.1,100.0,100.0,98,1,98,2820584,2820681
Feature152,NZ_AP026082.1,100.0,100.0,99,1,99,1204914,1205012
Feature153,NZ_AP026082.1,100.0,100.0,100,1,100,1738243,1738144
Feature153,NZ_AP026082.1,100.0,100.0,100,1,100,2815227,2815326
Feature155,NZ_AP026082.1,100.0,100.0,82,1,82,898415,898334
Feature157,NZ_AP026082.1,100.0,100.0,100,1,100,1515822,1515921
Feature157,NZ_AP026082.1,100.0,100.0,100,1,100,2562879,2562780
Feature157,NZ_AP026082.1,100.0,100.0,100,1,100,2819628,2819529
Feature159,NZ_AP026082.1,100.0,100.0,99,1,99,1490469,1490371
Feature160,NZ_AP026082.1,100.0,100.0,91,1,91,1620024,1619934
Feature165,NZ_AP026082.1,100.0,100.0,87,1,87,2053550,2053636
Feature165,NZ_AP026082.1,100.0,100.0,87,1,87,2559080,2559166
Feature165,NZ_AP026082.1,100.0,100.0,87,1,87,2815830,2815916
Feature166,NZ_AP026082.1,100.0,100.0,90,1,90,1515831,1515920
Feature166,NZ_AP026082.1,100.0,100.0,90,1,90,2562870,2562781
